timestamp,source_type,file_name,n_rows,n_cols,example_numeric_cols,num_applications_this_month_mean,num_applications_this_month_std,num_applications_this_month_null_pct,debt_to_income_ratio_mean,debt_to_income_ratio_std,debt_to_income_ratio_null_pct,high_leverage_flag_mean,high_leverage_flag_std,high_leverage_flag_null_pct,financial_maturity_score_mean,financial_maturity_score_std,financial_maturity_score_null_pct,engagement_score_mean,engagement_score_std,engagement_score_null_pct
2025-11-09 05:07:18,GOLD,gold_feature_store_2023_01_01.parquet,530,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.5296,3.5753,0.0,0.034,0.1813,0.0,4.2094,1.2734,0.0,5.0,0.0,0.0
2025-11-09 05:10:40,GOLD,gold_feature_store_2023_02_01.parquet,501,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6815,4.2129,0.0,0.0399,0.196,0.0,4.1677,1.2992,0.0,5.0,0.0,0.0
2025-11-09 05:13:22,GOLD,gold_feature_store_2023_03_01.parquet,506,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.9381,6.5642,0.0,0.0395,0.195,0.0,4.2115,1.2621,0.0,5.0,0.0,0.0
2025-11-09 05:16:31,GOLD,gold_feature_store_2023_04_01.parquet,510,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.7679,5.3494,0.0,0.0333,0.1797,0.0,4.1059,1.3076,0.0,5.0,0.0,0.0
2025-11-09 05:21:09,GOLD,gold_feature_store_2023_05_01.parquet,521,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.8502,6.3714,0.0,0.0384,0.1923,0.0,4.2207,1.26,0.0,5.0,0.0,0.0
2025-11-09 05:48:18,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 05:58:28,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:04:41,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:09:37,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:13:23,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:24:19,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:28:34,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:31:56,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:35:12,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:38:07,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:41:20,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:44:28,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:47:42,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:50:44,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:53:42,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 06:56:54,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:00:10,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:03:19,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:06:21,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:09:32,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:13:13,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:16:52,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:20:34,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:23:37,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:26:36,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:29:47,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:33:50,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:37:10,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
2025-11-09 07:40:32,GOLD,gold_feature_store_2024_12_01.parquet,515,23,"num_applications_this_month, debt_to_income_ratio, high_leverage_flag, financial_maturity_score, engagement_score",1.0,0.0,0.0,0.6128,4.1595,0.0,0.0427,0.2024,0.0,4.0913,1.3326,0.0,,,100.0
