loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,0,10000,0,0,0,10000,1/5/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,1,10000,1000,1000,0,9000,1/6/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,2,10000,1000,1000,0,8000,1/7/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,3,10000,1000,0,1000,8000,1/8/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,4,10000,1000,2000,0,6000,1/9/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,5,10000,1000,0,1000,6000,1/10/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,6,10000,1000,0,2000,6000,1/11/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,7,10000,1000,0,3000,6000,1/12/2023
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,8,10000,1000,0,4000,6000,1/1/2024
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,9,10000,1000,0,5000,6000,1/2/2024
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,10,10000,1000,0,6000,6000,1/3/2024
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,0,10000,0,0,0,10000,1/1/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,1,10000,1000,1000,0,9000,1/2/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,2,10000,1000,1000,0,8000,1/3/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,3,10000,1000,1000,0,7000,1/4/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,4,10000,1000,1000,0,6000,1/5/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,5,10000,1000,1000,0,5000,1/6/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,6,10000,1000,1000,0,4000,1/7/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,7,10000,1000,1000,0,3000,1/8/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,8,10000,1000,1000,0,2000,1/9/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,9,10000,1000,1000,0,1000,1/10/2025
CUS_0x1009_2025_01_01,CUS_0x1009,1/1/2025,10,10,10000,1000,1000,0,0,1/11/2025
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,0,10000,0,0,0,10000,1/3/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,1,10000,1000,1000,0,9000,1/4/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,2,10000,1000,1000,0,8000,1/5/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,3,10000,1000,1000,0,7000,1/6/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,4,10000,1000,1000,0,6000,1/7/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,5,10000,1000,1000,0,5000,1/8/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,6,10000,1000,1000,0,4000,1/9/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,7,10000,1000,1000,0,3000,1/10/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,8,10000,1000,1000,0,2000,1/11/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,9,10000,1000,1000,0,1000,1/12/2024
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,10,10000,1000,1000,0,0,1/1/2025
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,0,10000,0,0,0,10000,1/11/2023
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,1,10000,1000,1000,0,9000,1/12/2023
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,2,10000,1000,1000,0,8000,1/1/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,3,10000,1000,1000,0,7000,1/2/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,4,10000,1000,1000,0,6000,1/3/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,5,10000,1000,1000,0,5000,1/4/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,6,10000,1000,1000,0,4000,1/5/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,7,10000,1000,1000,0,3000,1/6/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,8,10000,1000,1000,0,2000,1/7/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,9,10000,1000,1000,0,1000,1/8/2024
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,10,10000,1000,1000,0,0,1/9/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,0,10000,0,0,0,10000,1/12/2023
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,1,10000,1000,1000,0,9000,1/1/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,2,10000,1000,1000,0,8000,1/2/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,3,10000,1000,1000,0,7000,1/3/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,4,10000,1000,1000,0,6000,1/4/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,5,10000,1000,1000,0,5000,1/5/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,6,10000,1000,1000,0,4000,1/6/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,7,10000,1000,1000,0,3000,1/7/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,8,10000,1000,1000,0,2000,1/8/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,9,10000,1000,1000,0,1000,1/9/2024
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,10,10000,1000,1000,0,0,1/10/2024
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,0,10000,0,0,0,10000,1/8/2023
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,1,10000,1000,1000,0,9000,1/9/2023
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,2,10000,1000,1000,0,8000,1/10/2023
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,3,10000,1000,1000,0,7000,1/11/2023
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,4,10000,1000,1000,0,6000,1/12/2023
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,5,10000,1000,1000,0,5000,1/1/2024
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,6,10000,1000,1000,0,4000,1/2/2024
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,7,10000,1000,1000,0,3000,1/3/2024
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,8,10000,1000,1000,0,2000,1/4/2024
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,9,10000,1000,1000,0,1000,1/5/2024
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,10,10000,1000,1000,0,0,1/6/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,0,10000,0,0,0,10000,1/11/2023
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,1,10000,1000,0,1000,10000,1/12/2023
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,2,10000,1000,2000,0,8000,1/1/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,3,10000,1000,1000,0,7000,1/2/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,4,10000,1000,0,1000,7000,1/3/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,5,10000,1000,0,2000,7000,1/4/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,6,10000,1000,0,3000,7000,1/5/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,7,10000,1000,0,4000,7000,1/6/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,8,10000,1000,0,5000,7000,1/7/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,9,10000,1000,0,6000,7000,1/8/2024
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,10,10000,1000,0,7000,7000,1/9/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,0,10000,0,0,0,10000,1/10/2023
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,1,10000,1000,1000,0,9000,1/11/2023
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,2,10000,1000,1000,0,8000,1/12/2023
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,3,10000,1000,1000,0,7000,1/1/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,4,10000,1000,1000,0,6000,1/2/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,5,10000,1000,1000,0,5000,1/3/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,6,10000,1000,1000,0,4000,1/4/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,7,10000,1000,1000,0,3000,1/5/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,8,10000,1000,1000,0,2000,1/6/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,9,10000,1000,1000,0,1000,1/7/2024
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,10,10000,1000,1000,0,0,1/8/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,0,10000,0,0,0,10000,1/1/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,1,10000,1000,1000,0,9000,1/2/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,2,10000,1000,1000,0,8000,1/3/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,3,10000,1000,1000,0,7000,1/4/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,4,10000,1000,1000,0,6000,1/5/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,5,10000,1000,1000,0,5000,1/6/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,6,10000,1000,1000,0,4000,1/7/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,7,10000,1000,1000,0,3000,1/8/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,8,10000,1000,1000,0,2000,1/9/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,9,10000,1000,1000,0,1000,1/10/2024
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,10,10000,1000,1000,0,0,1/11/2024
