loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date,normalized_snapshot_date,bronze_ingestion_timestamp,bronze_source_file,bronze_processing_date
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,5,10000,1000,1000,0,5000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,9,10000,1000,1000,0,1000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,8,10000,1000,1000,0,2000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,9,10000,1000,0,6000,7000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,10,10000,1000,1000,0,0,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,7,10000,1000,1000,0,3000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x102e_2024_04_01,CUS_0x102e,1/4/2024,10,4,10000,1000,0,2000,8000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1041_2023_11_01,CUS_0x1041,1/11/2023,10,9,10000,1000,1000,0,1000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1048_2024_02_01,CUS_0x1048,1/2/2024,10,6,10000,1000,0,5000,9000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x104a_2023_12_01,CUS_0x104a,1/12/2023,10,8,10000,1000,1000,0,2000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x1051_2024_01_01,CUS_0x1051,1/1/2024,10,7,10000,1000,1000,0,3000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
CUS_0x105b_2023_11_01,CUS_0x105b,1/11/2023,10,9,10000,1000,1000,0,1000,1/8/2024,2024-08-01,2025-11-09 07:23:55.536885,data/lms_loan_daily.csv,2024-08-01
