loan_id,Customer_ID,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance,snapshot_date,normalized_snapshot_date,bronze_ingestion_timestamp,bronze_source_file,bronze_processing_date
CUS_0x1000_2023_05_01,CUS_0x1000,1/5/2023,10,10,10000,1000,0,6000,6000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x100b_2024_03_01,CUS_0x100b,1/3/2024,10,0,10000,0,0,0,10000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1011_2023_11_01,CUS_0x1011,1/11/2023,10,4,10000,1000,1000,0,6000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1013_2023_12_01,CUS_0x1013,1/12/2023,10,3,10000,1000,1000,0,7000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1015_2023_08_01,CUS_0x1015,1/8/2023,10,7,10000,1000,1000,0,3000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1018_2023_11_01,CUS_0x1018,1/11/2023,10,4,10000,1000,0,1000,7000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1026_2023_10_01,CUS_0x1026,1/10/2023,10,5,10000,1000,1000,0,5000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x102d_2024_01_01,CUS_0x102d,1/1/2024,10,2,10000,1000,1000,0,8000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1032_2023_08_01,CUS_0x1032,1/8/2023,10,7,10000,1000,1000,0,3000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
CUS_0x1041_2023_11_01,CUS_0x1041,1/11/2023,10,4,10000,1000,1000,0,6000,1/3/2024,2024-03-01,2025-11-09 07:06:39.639615,data/lms_loan_daily.csv,2024-03-01
